,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
47,0.9,0.060088824,40.0,4,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
48,0.6875,0.12629728,40.0,5,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
49,0.4375,0.043567132,40.0,6,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
50,1.0,0.08606219,40.0,7,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
51,0.925,0.051553153,40.0,8,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
52,0.9555782,0.8569991,144.0,1,session_E,22,2,001-2014,MDM_riemann
53,0.947415,0.31475616,144.0,1,session_T,22,2,001-2014,MDM_riemann
54,0.5212925,0.34583148,144.0,2,session_E,22,2,001-2014,MDM_riemann
55,0.6097279,0.32209143,144.0,2,session_T,22,2,001-2014,MDM_riemann
56,0.9885714,0.33741158,144.0,3,session_E,22,2,001-2014,MDM_riemann
57,0.9842857,0.32442814,144.0,3,session_T,22,2,001-2014,MDM_riemann
58,0.8213605,0.30575258,144.0,4,session_E,22,2,001-2014,MDM_riemann
59,0.7866667,0.34194034,144.0,4,session_T,22,2,001-2014,MDM_riemann
60,0.7204762,0.84937274,144.0,5,session_E,22,2,001-2014,MDM_riemann
61,0.6108163,0.2871949,144.0,5,session_T,22,2,001-2014,MDM_riemann
62,0.7009524,0.33779186,144.0,6,session_E,22,2,001-2014,MDM_riemann
63,0.79285717,0.31510964,144.0,6,session_T,22,2,001-2014,MDM_riemann
64,0.949864,0.54403263,144.0,7,session_E,22,2,001-2014,MDM_riemann
65,0.81,0.3487206,144.0,7,session_T,22,2,001-2014,MDM_riemann
66,0.99326533,0.34082517,144.0,8,session_E,22,2,001-2014,MDM_riemann
67,0.9961905,0.29530907,144.0,8,session_T,22,2,001-2014,MDM_riemann
68,0.9340816,0.8419651,144.0,9,session_E,22,2,001-2014,MDM_riemann
69,0.81299317,0.3007112,144.0,9,session_T,22,2,001-2014,MDM_riemann
70,0.8125,0.113856986,40.0,1,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
71,0.85,0.06831636,40.0,2,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
72,0.875,0.07444711,40.0,3,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
73,0.6875,0.063857794,40.0,4,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
74,0.625,0.06159401,40.0,5,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
75,0.4125,0.116583206,40.0,6,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
76,1.0,0.053612996,40.0,7,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
77,0.95,0.11388145,40.0,8,session_0,16,1,Alexandre Motor Imagery,MDM_riemann
78,0.967415,0.37750584,144.0,1,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
79,0.9518367,0.64016616,144.0,1,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
80,0.6390476,0.45066923,144.0,2,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
81,0.6669388,0.95475245,144.0,2,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
82,0.9979592,0.69883007,144.0,3,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
83,0.9904762,0.42392746,144.0,3,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
84,0.8991156,0.3497594,144.0,4,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
85,0.86285716,0.41440615,144.0,4,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
86,0.6397959,0.3880685,144.0,5,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
87,0.49537414,0.69148684,144.0,5,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
88,0.80489796,0.59979886,144.0,6,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
89,0.8434694,0.85736656,144.0,6,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
90,0.97986394,0.346914,144.0,7,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
91,0.8620408,0.45245677,144.0,7,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
92,0.9980952,0.6531621,144.0,8,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
93,0.9980952,0.3964495,144.0,8,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
94,0.9646939,0.36666384,144.0,9,session_E,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
95,0.89857143,0.6395581,144.0,9,session_T,22,2,001-2014,TangentSpace_riemann_LogisticRegression()
96,0.8375,0.0690495,40.0,1,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
97,0.9125,0.061459064,40.0,2,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
98,0.9,0.1299911,40.0,3,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
